⺁	〔※⺁※丿※丿※※〕
㓑	〔※冫※土※䒑※十※〕
㓒	〔※冫※七※人※⺗※〕
㓓	〔※冫※十※冂※十※〕
㓔	〔※冫※丿※󰀽※寸※〕
㓕	〔※冫※戊※一※火※〕
㓖	〔※冫※日※艹※󰀟※〕
㓗	〔※冫※三※丨※小※〕
㓘	〔※󰁰※一※夕※丶※〕
㓙	〔※文※凵※󰀵※※〕
㓚	〔※工※刂※󰀢※※〕
㓛	〔※工※刀※󰁥※※〕
㓜	〔※幺※刀※󰁥※※〕
㓝	〔※二※󰀯※刂※󰀢※〕
㓞	〔※三※丨※刀※󰁥※〕
㓟	〔※皮※刂※󰀢※※〕
㓠	〔※󰀥※口※刂※󰀢※〕
㓡	〔※󰁿※十※凵※刂※〕
㓢	〔※夂※口※刂※󰀢※〕
㓣	〔※人※一※口※刂※〕
㓤	〔※士※口※刂※󰀢※〕
㓥	〔※⺌※彐※刂※󰀢※〕
㓦	〔※丆※日※刂※󰀢※〕
㓧	〔※人※丶※乛※刂※〕
㓨	〔※大※人※人※刂※〕
㓩	〔※⺈※用※刂※󰀢※〕
㓪	〔※丶※󰁮※刀※󰁥※〕
㓫	〔※大※一※廾※刂※〕
㓬	〔※丷※夫※刀※刂※〕
㓭	〔※日※勹※人※刂※〕
㓮	〔※󰀼※土※口※刂※〕
㓯	〔※巛※田※刂※󰀢※〕
㓰	〔※一※由※凵※刂※〕
㓱	〔※人※一※月※刂※〕
㓲	〔※丶※尸※冂※刂※〕
㓳	〔※日※一※󰁾※刂※〕
㓴	〔※丆※冂※󰀭※刂※〕
㓵	〔※口※口※二※刂※〕
㓶	〔※三※丨※刀※刂※〕
㓷	〔※丿※目※木※刂※〕
㓸	〔※匚※󰁃※󰀚※刂※〕
㓹	〔※厂※火※火※刂※〕
㓺	〔※虍※文※刂※󰀢※〕
㓻	〔※罒※一※止※刂※〕
㓼	〔※木※人※氺※刂※〕
㓽	〔※山※宀※二※刂※〕
㓾	〔※尸※氺※丿※刂※〕
㓿	〔※禾※人※氺※刂※〕
㔀	〔※日※󰁸※小※刂※〕
㔁	〔※癶※一※口※刂※〕
㔂	〔※米※夕※㐄※刂※〕
㔃	〔※糹※⺈※巴※刀※〕
㔄	〔※覀※米※刂※󰀢※〕
㔅	〔※󰁬※十※󰀲※刂※〕
㔆	〔※󰀄※󰁜※󰀄※刂※〕
㔇	〔※癶※弓※几※刂※〕
㔈	〔※艹※丨※三※刂※〕
㔉	〔※尸※丿※口※刂※〕
㔊	〔※亠※囗※口※刂※〕
㔋	〔※匚※丨※󰁃※刂※〕
㔌	〔※耳※又※乑※刂※〕
㔍	〔※⺮※目※廾※刂※〕
㔎	〔※凵※人※㠯※刀※〕
㔏	〔※石※石※石※刂※〕
